incident_id,reason,responsible_dept,action_plan
INC-0703,1mtr weight issue,Stretchline-SL,
INC-0704,Shade variation,Dye Range,
INC-0705,Received Less,Greige Stores,
INC-0706,1mtr weight issue,Stretchline-Mexico,
INC-0707,Shortage of material,Dye Range,
INC-0708,Patches,Dye Range,
INC-0709,Patches,Dye Exhaust,
INC-0710,Received Less,Dye Range,
INC-0711,1mtr weight issue,Stretchline-SL,
INC-0712,1mtr weight issue,Stretchline-2,
INC-0713,1mtr weight issue,Stretchline-SL,
INC-0714,1mtr weight issue,Stretchline-SL,
INC-0715,Received Less,Dye Range,
INC-0716,Patches,Dye Range,
INC-0717,Received Less,Dye Range,
INC-0718,Loop,Weaving,
INC-0719,1mtr weight issue,Stretchline-SL,
INC-0720,Lines,Sourcing,
INC-0721,Patches,Sourcing,
INC-0722,Patches,Yarn Dyeing,
INC-0723,Entangle,Dye Range,
INC-0724,Sample Waste,Packing,
INC-0725,Order Complete,Order Complete,
INC-0726,Wrong Quality,Dye Exhaust,
INC-0727,Patches,Yarn Dyeing,
INC-0728,Patches,Sourcing,
INC-0729,1mtr weight issue,Stretchline-SL,
INC-0730,1mtr weight issue,Stretchline-SL,
INC-0731,Order Complete,Order Complete,
INC-0732,5m waste,Packing,
INC-0733,5m waste,Packing,
INC-0734,1mtr weight issue,Stretchline-SL,
INC-0735,Width Variation,Jacquard,
INC-0736,Patches,Dye Range,
INC-0737,Edge Damage,Stretchline-Mexico,
INC-0738,Shade Variation,Dye Range,
INC-0739,Received Less,Dye Range,
INC-0740,Shade Variation,Dye Range,
INC-0741,Slack Rubber,Preparation,
INC-0742,1mtr weight issue,Stretchline-Mexico,
INC-0743,Received Less,Greige Stores,
INC-0744,Received Less,Dye Range,
INC-0745,Curling,Sourcing,
INC-0746,1mtr weight issue,Stretchline-Mexico,
INC-0747,Received Less,Greige Stores,
INC-0748,1mtr weight issue,Stretchline-SL,
INC-0749,Shade Variation,Dye Exhaust,
INC-0750,1mtr weight issue,Stretchline-SL,
INC-0751,Reason not mentioned,Reason not mentioned,
INC-0752,Routing error,Color Development,
INC-0753,Received Less,Dye Range,
INC-0754,Received Less,Dye Range,
INC-0755,Planning instruction,Planing,
INC-0756,Wrong Shade,Sales,
INC-0757,Lines,Sourcing,
INC-0758,Patches,Dye Range,
INC-0759,Face Variation,Stretchline-2,
INC-0760,Received Less,Greige Stores,
INC-0761,Dirt Marks,Dye Range,
INC-0762,Received Less,Greige Stores,
INC-0763,Received Less,Greige Stores,
INC-0764,Received Less,Dye Range,
INC-0765,Shade Variation,Dye Range,
INC-0766,Wet,Dye Exhaust,
INC-0767,Received Less,Greige Stores,
INC-0768,Wrong Quality,Stretchline-Mexico,
INC-0769,Width Variation,Weaving,
INC-0770,Off Shade,Dye Exhaust,
INC-0771,Lines,Stretchline-Mexico,
INC-0772,Shade Variation,Weaving,
INC-0773,Wrong Width,Color Lab,
INC-0774,Received Less,Greige Stores,
INC-0775,Received Less,Dye Range,
INC-0776,Reverside variation,Dye Range,
INC-0777,Slack Rubber,Preparation,
INC-0778,1mtr weight issue,Stretchline-Mexico,
INC-0779,1mtr weight issue,Stretchline-SL,
INC-0780,Received Less,Greige Stores,
INC-0781,1mtr weight issue,Stretchline-Mexico,
INC-0782,1mtr weight issue,Stretchline-SL,
INC-0783,Shade Variation,Dye Exhaust,
INC-0784,Dye Patches,Dye Range,
INC-0785,Received Less,Greige Stores,
INC-0786,1mtr weight issue,Stretchline-Mexico,
INC-0787,1mtr weight issue,Stretchline-SL,
INC-0788,NLDA,Color Lab,
INC-0789,Patches,Dye Range,
INC-0790,Shade Variation,Weaving,
INC-0791,Off Shade,Weaving,
INC-0792,Shade Variation,Dye Range,
INC-0793,1mtr weight issue,Stretchline-SL,
INC-0794,Shade Variation,Dye Range,
INC-0795,1mtr weight issue,Stretchline-SL,
INC-0796,1mtr weight issue,Stretchline-SL,
INC-0797,1mtr weight issue,Stretchline-SL,
INC-0798,Patches,Yarn Dyeing,
INC-0799,Patches,Yarn Dyeing,
INC-0800,Patches,Yarn Dyeing,
INC-0801,Patches,Yarn Dyeing,
INC-0802,Edge Damage,Weaving,
INC-0803,Off Shade,Weaving,
INC-0804,Face Damage,Mexico,
INC-0805,Edge Damage,Mexico,
INC-0806,Shade Variation,Dye Range,
INC-0807,Patches,Dye Range,
INC-0808,Shade Variation,Weaving,
INC-0809,Shade Variation,Stretchline-2,
INC-0810,NLDA,Color Lab,
INC-0811,Patches,Dye Range,
INC-0812,1mtr weight issue,Stretchline-SL,
INC-0813,Received Less,Greige Stores,
INC-0814,Received Less,Greige Stores,
INC-0815,Received Less,Dye Range,
INC-0816,Received Less,Greige Stores,
INC-0817,Face Variation,Stretchline-2,
INC-0818,Shade Variation,Stretchline-2,
INC-0819,Received Less,Greige Stores,
INC-0820,Shade Variation,Dye Range,
INC-0821,Shade Variation,Dye Range,
INC-0822,Face Damage,Development,
INC-0823,Edge Damage,Weaving,
INC-0824,Received Less,Greige Stores,
INC-0825,Face Damage,Development,
INC-0826,Face Damage,Development,
INC-0827,Dirt Marks,Yarn Dyeing,
INC-0828,Patches,Dye Range,
INC-0829,Received Less,Dye Range,
INC-0830,Face Damage,Development,
INC-0831,Received Less,Greige Stores,
INC-0832,Dirt Marks,Preparation,
INC-0833,Shade Variation,Dye Range,
INC-0834,Patches,Dye Range,
INC-0835,1mtr weight issue,Stretchline-SL,
INC-0836,Patches,Dye Range,
INC-0837,Shade Variation,Dye Range,
INC-0838,Edge Damage,Jacquard,
INC-0839,1mtr weight issue,Stretchline-SL,
INC-0840,Received Less,Greige Stores,
INC-0841,High Joint,Dye Exhaust,
INC-0842,1mtr weight issue,Stretchline-SL,
INC-0843,Received Less,Dye Range,
INC-0844,Patches,Dye Range,
INC-0845,Print damage,Value Addition,
INC-0846,Wrong Quality,Stretchline-Mexico,
INC-0847,Received Less,Dye Range,
INC-0848,Received Less,Dye Range,
INC-0849,1mtr weight issue,Stretchline-SL,
INC-0850,Snagging,Dye Range,
INC-0851,1mtr weight issue,Stretchline-Mexico,
INC-0852,1mtr weight issue,Stretchline-SL,
INC-0853,1mtr weight issue,Stretchline-2,
INC-0854,1mtr weight issue,Stretchline-SL,
INC-0855,Curling,Stretchline-Mexico,
INC-0856,1mtr weight issue,Stretchline-SL,
INC-0857,1mtr weight issue,Stretchline-SL,
INC-0858,Bias,Weaving,
INC-0859,1mtr weight issue,Stretchline-SL,
INC-0860,1mtr weight issue,Stretchline-SL,
INC-0861,Received Less,Dye Range,
INC-0862,1mtr weight issue,Stretchline-SL,
INC-0863,1mtr weight issue,Stretchline-SL,
INC-0864,Shade Variation,Dye Range,
INC-0865,1mtr weight issue,Stretchline-Mexico,
INC-0866,Print damage,Value Addition,
INC-0867,Print damage,Value Addition,
INC-0868,1mtr weight issue,Stretchline-SL,
INC-0869,1mtr weight issue,Stretchline-SL,
INC-0870,Genral operational waste,Greige Stores,
INC-0871,Received Less,Greige Stores,
INC-0872,1mtr weight issue,Stretchline-SL,
INC-0873,1mtr weight issue,Stretchline-SL,
INC-0874,1mtr weight issue,Stretchline-SL,
INC-0875,1mtr weight issue,Stretchline-SL,
INC-0876,1mtr weight issue,Stretchline-SL,
INC-0877,1mtr weight issue,Stretchline-SL,
INC-0878,Snagging,Stretchline-Mexico,
INC-0879,Product waste,Dye Exhaust,
INC-0880,1mtr weight issue,Stretchline-SL,
INC-0881,1mtr weight issue,Stretchline-SL,
INC-0882,Lines,Stretchline-Mexico,
INC-0883,Dirt Marks,Dye Range,
INC-0884,Received Less,Dye Range,
INC-0885,Shade Variation,Dye Range,
INC-0886,Lines,Jacquard,
INC-0887,Shade Variation,Stretchline-2,
INC-0888,1mtr weight issue,Stretchline-SL,
INC-0889,1mtr weight issue,Stretchline-SL,
INC-0890,Print damage,Value Addition,
INC-0891,Shade Variation,Stretchline-2,
INC-0892,1mtr weight issue,Stretchline-SL,
INC-0893,Print damage,Value Addition,
INC-0894,Received Less,Dye Range,
INC-0895,1mtr weight issue,Stretchline-SL,
INC-0896,Shade variation,Weaving,
INC-0897,Off Shade,Weaving,
INC-0898,Shade variation,Dye Range,
INC-0899,High Letter Length,Dye Exhaust,
INC-0900,Dye Patches,Dye Range,
INC-0901,Shade variation,Weaving,
INC-0902,Shade Variation,Dye Exhaust,
INC-0903,High Joint,Weaving,
INC-0904,Received Less,Dye Range,
INC-0905,Shade Variation,Stretchline-2,
INC-0906,Dye Patches,Dye Range,
INC-0907,Face Variation,Stretchline-2,
INC-0908,Print damage,Value Addition,
INC-0909,Off Shade,Dye Range,
INC-0910,Snagging,Stretchline-Mexico,
INC-0911,Shade Variation,Dye Range,
INC-0912,Patches,Dye Range,
INC-0913,Off Shade,Stretchline-2,
INC-0914,Face Damage,Dye Range,
INC-0915,Wrong Width,Jacquard,
INC-0916,Genral operational waste,Greige Stores,
INC-0917,1mtr weight issue,Stretchline-SL,
INC-0918,High Joint,Greige Stores,
INC-0919,Shade variation,Dye Range,
INC-0920,NLDA,Color Lab,
INC-0921,NLDA,Color Lab,
INC-0922,NLDA,Color Lab,
INC-0923,Dirt Marks,Weaving,
INC-0924,Riverside Side Variation,Sourcing,
INC-0925,Received Less,Dye Range,
INC-0926,Quality Issue,Yarn Dyeing,
INC-0927,1mtr weight issue,Stretchline-2,
INC-0928,Off Shade,Dye Range,
INC-0929,Off Shade,Dye Range,
INC-0930,Received Less,Dye Range,
INC-0931,Received Less,Greige Stores,
INC-0932,High Letter Length,Dye Range,
INC-0933,High Letter Length,Dye Range,
INC-0934,Received Less,Greige Stores,
INC-0935,Received Less,Greige Stores,
INC-0936,Curling,Sourcing,
INC-0937,1mtr weight issue,Stretchline-SL,
INC-0938,1mtr weight issue,Stretchline-SL,
INC-0939,Dirt Marks,Yarn Dyeing,
INC-0940,Snagging,Dye Exhaust,
INC-0941,Snagging,Dye Range,
INC-0942,Order Complete,Order Complete,
INC-0943,1mtr weight issue,Stretchline-SL,
INC-0944,Shade variation,Dye Range,
INC-0945,NLDA,Color Lab,
INC-0946,NLDA,Color Lab,
INC-0947,Shade Variation,Dye Range,
INC-0948,Order Complete,Order Complete,
INC-0949,Shade Variation,Dye Range,
INC-0950,Sample Waste,Dye Range,
INC-0951,Order Complete,Order Complete,
INC-0952,Shade Variation,Dye Range,
INC-0953,Shade Variation,Dye Range,
INC-0954,1mtr weight issue,Stretchline-SL,
INC-0955,Snagging,Dye Range,
INC-0956,1mtr weight issue,Stretchline-SL,
INC-0957,5m waste,Packing,
INC-0958,Received Less,Dye Range,
INC-0959,1mtr weight issue,Stretchline-SL,
INC-0960,5m waste,Packing,
INC-0961,High Joint,Dye Exhaust,
INC-0962,1mtr weight issue,Stretchline-SL,
INC-0963,1mtr weight issue,Stretchline-SL,
INC-0964,Reverside variation,Dye Range,
INC-0965,Patches,Sourcing,
INC-0966,Face Variation,Weaving,
INC-0967,Print damage,Value Addition,
INC-0968,Print damage,Value Addition,
INC-0969,5m waste,Packing,
INC-0970,Yarn Dust,Yarn Dyeing,
INC-0971,Yarn Dust,Yarn Dyeing,
INC-0972,Curling,Development,
INC-0973,Sample Waste,Dye Range,
INC-0974,1mtr weight issue,Stretchline-SL,
INC-0975,1mtr weight issue,Stretchline-SL,
INC-0976,1mtr weight issue,Stretchline-Mexico,
INC-0977,5m waste,Packing,
INC-0978,Product waste,Dye Exhaust,
INC-0979,1mtr weight issue,Stretchline-SL,
INC-0980,5m waste,Packing,
INC-0981,Shade Variation,TBC,
INC-0982,Dirt Marks,Weaving,
INC-0983,Shade Variation,Dye Range,
INC-0984,Entangle,stretchline-2,
INC-0985,Snagging,Stretchline-Mexico,
INC-0986,Snagging,Stretchline-Mexico,
INC-0987,Patches,Dye Range,
INC-0988,Snagging,Stretchline-Mexico,
INC-0989,Snagging,Stretchline-Mexico,
INC-0990,Yarn Dust,Yarn Dyeing,
INC-0991,5m waste,Packing,
INC-0992,Edge Damage,Stretchline-Mexico,
INC-0993,Edge Damage,Stretchline-Mexico,
INC-0994,Curling,Stretchline-Mexico,
INC-0995,Dirt Marks,Stretchline-Mexico,
INC-0996,Shade Variation,Dye Range,
INC-0997,Received Less,Greige Stores,
INC-0998,Product waste,Dye Exhaust,
INC-0999,Product waste,Value Addition,
INC-1000,Received Less,Dye Range,
INC-1001,Order Complete,Order Complete,
INC-1002,Bias,Weaving,
INC-1003,Yarn Dust,Yarn Dyeing,
INC-1004,Yarn Dust,Yarn Dyeing,
INC-1005,5m waste,Packing,
INC-1006,Sample Waste,Dye Range,
INC-1007,Shade Variation,Dye Range,
INC-1008,Sample Waste,Dye Range,
INC-1009,Shade Variation,Dye Range,
INC-1010,Sample Waste,Dye Range,
INC-1011,5m waste,Packing,
INC-1012,Off Shade,Dye Range,
INC-1013,Shade Variation,TBC,
INC-1014,Yarn Dust,Yarn Dyeing,
INC-1015,Yarn Dust,Yarn Dyeing,
INC-1016,Received Less,Greige Stores,
INC-1017,Print damage,Value Addition,
INC-1018,Face Damage,Stretchline-2,
INC-1019,Shade Variation,Dye Range,
INC-1020,Shade Variation,Dye Range,
INC-1021,Greige Issue,Stretchline-2,
INC-1022,Shade variation,Weaving,
INC-1023,1mtr weight issue,Stretchline-Mexico,
INC-1024,1mtr weight issue,Stretchline-SL,
INC-1025,Face line,Sourcing,
INC-1026,Lines,Sourcing,
INC-1027,Lines,Sourcing,
INC-1028,Lines,Sourcing,
INC-1029,Patches,Dye Range,
INC-1030,Received Less,Dye Range,
INC-1031,1mtr weight issue,Stretchline-SL,
INC-1032,Wrong Quality,Greige Stores,
INC-1033,Order Complete,Order Complete,
INC-1034,Loop,Weaving,
INC-1035,Shade Variation,Dye Range,
INC-1036,Belling,Dye Range,
INC-1037,Order Complete,Order Complete,
INC-1038,Order Completed,Order Complete,
INC-1039,Received Less,Dye Range,
INC-1040,Print damage,Value Addition,
INC-1041,Received Less,Dye Range,
INC-1042,Patches,Dye Range,
INC-1043,Shade Variation,Dye Range,
INC-1044,Belling,Stretchline-Mexico,
INC-1045,Order Complete,Order Complete,
INC-1046,Order Complete,Order Complete,
INC-1047,Yarn Missing,Weaving,
INC-1048,5m waste,Packing,
INC-1049,5m waste,Packing,
INC-1050,Wrong Quality,Jacquard,
INC-1051,Off Shade,Dye Range,
INC-1052,Shade Variation,Dye Range,
INC-1053,NLDA,Color Lab,
INC-1054,Off Shade,Weaving,
INC-1055,Patches,Dye Range,
INC-1056,NLDA,Color Lab,
INC-1057,NLDA,Color Lab,
INC-1058,NLDA,Color Lab,
INC-1059,NLDA,Color Lab,
INC-1060,Loop,Weaving,
INC-1061,Shade Variation,Dye Range,
INC-1062,Dirt Marks,Dye Range,
INC-1063,Shade Variation,Dye Range,
INC-1064,5m waste,Packing,
INC-1065,5m waste,Packing,
INC-1066,Lines,Yarn Dyeing,
INC-1067,5m waste,Less than 5m,
INC-1068,Dirt Marks,Preparation,
INC-1069,5m waste,Less than 5m,
INC-1070,Scallop damage,Greige Stores,
INC-1071,Scallop damage,Greige Stores,
INC-1072,Width Variation,Greige Stores,
INC-1073,1mtr weight issue,Stretchline-SL,
INC-1074,1mtr weight issue,Stretchline-SL,
INC-1075,1mtr weight issue,Stretchline-SL,
INC-1076,Patches,Dye Range,
INC-1077,Patches,Dye Range,
INC-1078,Received Less,Dye Range,
INC-1079,1mtr weight issue,Stretchline-Mexico,
INC-1080,Machine Breakdown Waste,Machine Breakdown Waste,
INC-1081,Lines,Sourcing,
INC-1082,NLDA,Color Lab,
INC-1083,Dirt Marks,Sourcing,
INC-1084,1mtr weight issue,Stretchline-SL,
INC-1085,Patches,Dye Range,
INC-1086,Received Less,Dye Range,
INC-1087,Patches,Dye Range,
INC-1088,Shade Variation,Dye Range,
INC-1089,Shade Variation,Dye Range,
INC-1090,Shade Variation,Dye Range,
INC-1091,Off Shade,Dye Range,
INC-1092,Shade Variation,Dye Range,
INC-1093,Lines,Sourcing,
INC-1094,Lines,Sourcing,
INC-1095,Lines,Sourcing,
INC-1096,Patches,Dye Range,
INC-1097,Patches,Dye Range,
INC-1098,1mtr weight issue,Stretchline-SL,
INC-1099,5m waste,Less than 5m,
INC-1100,Shade Variation,Dye Range,
INC-1101,NLDA,Color Lab,
INC-1102,Lines,Sourcing,
INC-1103,Lines,Sourcing,
INC-1104,Sample Waste,Dye Range,
INC-1105,High Letter Length,Dye Range,
INC-1106,5m waste,Less than 5m,
INC-1107,Printing Damage,Value Addition,
INC-1108,1mtr weight issue,Stretchline-Mexico,
INC-1109,Hight Joint,Yarn Dyeing,
INC-1110,Dirt Marks,Yarn Dyeing,
INC-1111,Dirt Marks,Yarn Dyeing,
INC-1112,1mtr weight issue,Stretchline-SL,
INC-1113,1mtr weight issue,Stretchline-SL,
INC-1114,Printing Damage,Value Addition,
INC-1115,Received Less,Dye Range,
INC-1116,Dye Patches,Dye Range,
INC-1117,Order Complete,Order Complete,
INC-1118,Wrong Quality,TBC,
INC-1119,Genral operational waste,Genral operational waste ,
INC-1120,Yarn Dust,Yarn Dyeing,
INC-1121,Routing error,Color Development,
INC-1122,Routing error,Color Development,
INC-1123,Line,Dye Range,
INC-1124,Product waste,Dye Range,
INC-1125,1mtr weight issue,Stretchline-SL,
INC-1126,1mtr weight issue,Stretchline-SL,
INC-1127,Sample Waste,Dye Range,
INC-1128,Wrong Quality,Planning,
INC-1129,1mtr weight issue,Stretchline-SL,
INC-1130,Face Damage,Weaving,
INC-1131,Dirt Marks,Dye Range,
INC-1132,Sample Waste,Dye Range,
INC-1133,Dirt Marks,Dye Range,
INC-1134,1mtr weight issue,Stretchline-SL,
INC-1135,1mtr weight issue,Stretchline-SL,
INC-1136,Yarn Missing,Sourcing,
INC-1137,Yarn Missing,Sourcing,
INC-1138,Yarn Missing,Sourcing,
INC-1139,Yarn Missing,Sourcing,
INC-1140,5m waste,Less than 5m,
INC-1141,5m waste,Less than 5m,
INC-1142,Sample Waste,Dye Range,
INC-1143,1mtr weight issue,Stretchline-SL,
INC-1144,1mtr weight issue,Stretchline-SL,
INC-1145,Wrong Quality,TBC,
INC-1146,Received Less,Greige Stores,
INC-1147,Received Less,Dye Exhaust,
INC-1148,Order Complete,Order Complete,
INC-1149,Face Damage,Weaving,
INC-1150,Dirt Marks,Weaving,
INC-1151,Order cancelled,Planning,
INC-1152,Order cancelled,Planning,
INC-1153,Order cancelled,Planning,
INC-1154,Order cancelled,Planning,
INC-1155,Order cancelled,Planning,
INC-1156,Order cancelled,Planning,
INC-1157,Curling,Sourcing,
INC-1158,Received Less,Value Addition,
INC-1159,5m waste,Less than 5m,
INC-1160,Received Less,Dye Exhaust,
INC-1161,1mtr weight issue,Stretchline-2,
INC-1162,Lines,Sourcing,
INC-1163,Received Less,Greige Stores,
INC-1164,5m waste,Less than 5m,
INC-1165,Order Complete,order Complete,
INC-1166,Lines,Sourcing,
INC-1167,Dirt Marks,Yarn Dyeing,
INC-1168,Dirt Marks,Yarn Dyeing,
INC-1169,5m waste,Less than 5m,
INC-1170,Dirt Marks,Sourcing,
INC-1171,1mtr weight issue,Stretchline-SL,
INC-1172,Patches,Dye Range,
INC-1173,Yarn Missing,Sourcing,
INC-1174,Curling,Sourcing,
INC-1175,Patches,Dye Range,
INC-1176,Bonding Damage,Value Addition,
INC-1177,Received Less,Greige Stores,
INC-1178,Off Shade,Dye Exhaust,
INC-1179,Wrong Quality,Dye Exhaust,
INC-1180,Received Less,Dye Range,
INC-1181,Shade Variation,Dye Range,
INC-1182,Entangles,Dye Range,
INC-1183,Curling,Sourcing,
INC-1184,Loop,Weaving,
INC-1185,5m waste,Less than 5m,
INC-1186,Patches,Dye Range,
INC-1187,Order Complete,Order Complete,
INC-1188,Shade Variation,Dye Range,
INC-1189,Received Less,Dye Range,
INC-1190,Product waste,Dye Exhaust,
INC-1191,5m waste,Less than 5m,
INC-1192,Curling,Sourcing,
INC-1193,Lines,Yarn Dyeing,
INC-1194,Edge Damage,Sourcing,
INC-1195,1mtr weight issue,Stretchline-SL,
INC-1196,Shade Variation,Dye Range,
INC-1197,5m waste,Less than 5m,
INC-1198,Received Less,Dye Range,
INC-1199,Dirt Marks,Dye Range,
INC-1200,1mtr weight issue,Stretchline-SL,
INC-1201,1mtr weight issue,Stretchline-SL,
INC-1202,Wrong Quality,Jacquard,
INC-1203,Wrong Quality,Jacquard,
INC-1204,Dirt Marks,Dye Range,
INC-1205,Yarn Missing,Sourcing,
INC-1206,1mtr weight issue,Stretchline-SL,
INC-1207,Wrong Quality,Weaving,
INC-1208,Order Complete,Order Complete,
INC-1209,1mtr weight issue,Stretchline-SL,
INC-1210,1mtr weight issue,Stretchline-SL,
INC-1211,Order Complete,Order Complete,
INC-1212,Machine Breakdown waste,Maintenance,
INC-1213,1mtr weight issue,Stretchline-SL,
INC-1214,Received Less,Dye Range,
INC-1215,5m waste,Less than 5m,
INC-1216,Received Less,Dye Range,
INC-1217,1mtr weight issue,Stretchline-SL,
INC-1218,Received Less,Greige Stores,
INC-1219,5m waste,Less than 5m,
INC-1220,5m waste,Less than 5m,
INC-1221,5m waste,Less than 5m,
INC-1222,Shade Variation,Dye Exhaust,
INC-1223,Loop,Weaving,
INC-1224,Patches,Dye Range,
INC-1225,Order Completed,Order Complete,
INC-1226,Received Less,Greige Stores,
INC-1227,Shade Variation,Dye Range,
INC-1228,5m waste,Less than 5m,
INC-1229,Edge Variation,Value Addition,
INC-1230,Bonding Damage,Value Addition,
INC-1231,Wrong Quality,Jacquard,
INC-1232,Received Less,Greige Stores,
INC-1233,Planning  Issue,Planning,
INC-1234,Received Less,Value Addition,
INC-1235,Face Lines,Yarn Dyeing,
INC-1236,Machine Breakdown waste,Maintenance,
INC-1237,Dye Demand Reduced,Planning,
INC-1238,1mtr weight issue,Stretchline-SL,
INC-1239,Off Shade,Dye Range,
INC-1240,1mtr weight issue,Stretchline-SL,
INC-1241,Routing error,Color Lab,
INC-1242,Face Variation,Weaving,
INC-1243,Order Complete,Order Complete,
INC-1244,1mtr weight issue,Stretchline-SL,
INC-1245,Patches,Dye Range,
INC-1246,1mtr weight issue,Stretchline-SL,
INC-1247,5m waste,Less than 5m,
INC-1248,5m waste,Less than 5m,
INC-1249,Order Completed,Order Complete,
INC-1250,Order Completed,Order Complete,
INC-1251,Routing error,Color Lab,
INC-1252,1mtr weight issue,Stretchline-SL,
INC-1253,Received Less,Dye Range,
INC-1254,5m waste,Less than 5m,
INC-1255,1mtr weight issue,Stretchline-Mexico,
INC-1256,Routing error,Color Lab,
INC-1257,Routing error,Color Lab,
INC-1258,Patches,Dye Range,
INC-1259,Loop,Sourcing,
INC-1260,Received Less,Dye Range,
INC-1261,1mtr weight issue,Stretchline-SL,
INC-1262,Snagging,Dye Range,
INC-1263,Order Complete,Order Complete,
INC-1264,Shade Variation,Dye Exhaust,
INC-1265,Received Less,Greige Stores,
INC-1266,Received Less,Greige Stores,
INC-1267,Received Less,Greige Stores,
INC-1268,5m waste,Less than 5m,
INC-1269,Received Less,Dye Range,
INC-1270,Order Complete,Order Complete,
INC-1271,Order Complete,Order Complete,
INC-1272,Order Complete,Order Complete,
INC-1273,Crush/Crease Marks,Dye Exhaust,
INC-1274,Shade Variation,Dye Exhaust,
INC-1275,Creas mark,Dye Exhaust,
INC-1276,Shade Variation,Dye Range,
INC-1277,Shade Variation,Weaving,
INC-1278,Face Damage,Jacquard,
INC-1279,1mtr weight issue,Quality Assurance,
INC-1280,Lines,Weaving,
INC-1281,Received Less,Greige Stores,
INC-1282,Edge Variation,Value Addition,
INC-1283,Order Complete,Order Complete,
INC-1284,Edge Variation,Value Addition,
INC-1285,Patches,Dye Range,
INC-1286,Print damage,Value Addition,
INC-1287,Order Complete,Order Completed,
INC-1288,1mtr weight issue,Stretchline-SL,
INC-1289,Off Shade,Dye Range,
INC-1290,Patches,Dye Range,
INC-1291,Wrong Quality,Packing,
INC-1292,1mtr weight issue,Stretchline-SL,
INC-1293,Dirt Marks,Dye Range,
INC-1294,Planning  Issue,Planning,
INC-1295,Uneven Edges,Jacquard,
INC-1296,1mtr weight issue,Stretchline-SL,
INC-1297,Received Less,Dye Range,
INC-1298,5m waste,Less than 5m,
INC-1299,Sample Waste,Dye Range,
INC-1300,Shade Variation,Dye Range,
INC-1301,Shade Variation,Dye Range,
INC-1302,Received Less,Greige Stores,
INC-1303,1mtr weight issue,Stretchline-SL,
INC-1304,Print damage,Value Addition,
INC-1305,Loop,Weaving,
INC-1306,1mtr weight issue,Stretchline-SL,
INC-1307,Order Complete,Order Complete,
INC-1308,Received Less,Greige Stores,
INC-1309,Received Less,Greige Stores,
INC-1310,Bonding Issues,Value Addition,
INC-1311,1mtr weight issue,Stretchline-SL,
INC-1312,Quality Issue,Stretchline-2,
INC-1313,Edge Damage,Weaving,
INC-1314,Received Less,Greige Stores,
INC-1315,Snagging,Dye Range,
INC-1316,Received Less,Dye Range,
INC-1317,1mtr weight issue,Stretchline-SL,
INC-1318,1mtr weight issue,Stretchline-SL,
INC-1319,1mtr weight issue,Stretchline-SL,
INC-1320,Received Less,Dye Range,
INC-1321,1mtr weight issue,Stretchline-SL,
INC-1322,Pin Holl,Sourcing,
INC-1323,Belling,Weaving,
INC-1324,Off Shade,Dye Range,
INC-1325,Order Complete,Order Complete,
INC-1326,Order Complete,Order Complete,
INC-1327,Order Complete,Order Complete,
INC-1328,Received Less,Greige Stores,
INC-1329,Patches,Dye Range,
INC-1330,Sample Waste,Dye Range,
INC-1331,1mtr weight issue,Stretchline-SL,
INC-1332,Received Less,Greige Stores,
INC-1333,Received Less,Greige Stores,
INC-1334,Received Less,Greige Stores,
INC-1335,Received Less,Greige Stores,
INC-1336,Received Less,Greige Stores,
INC-1337,Received Less,Dye Range,
INC-1338,5m waste,Less than 5m,
INC-1339,Order Complete,Order Complete,
INC-1340,5m waste,Less than 5m,
INC-1341,Received Less,Dye Range,
INC-1342,Production waste,Dye Range,
INC-1343,Production waste,Dye Range,
INC-1344,Production waste,Dye Range,
INC-1345,5m waste,Less than 5m,
INC-1346,Received Less,Less than 5m,
INC-1347,Received Less,Dye Range,
INC-1348,Lines,Sourcing,
INC-1349,Patches,Dye Range,
INC-1350,5m waste,Less than 5m,
INC-1351,Dirt Marks,Jacquard,
INC-1352,Received Less,Dye Range,
INC-1353,Yarn Missing,Sourcing,
INC-1354,Order Complete,Order Complete,
INC-1355,Off Shade,Dye Range,
INC-1356,5m waste,Less than 5m,
INC-1357,Shade Variation,Dye Range,
INC-1358,Patches,Dye Range,
INC-1359,5m waste,Less than 5m,
INC-1360,1mtr weight issue,Stretchline-SL,
INC-1361,5m waste,Less than 5m,
INC-1362,Patches,Dye Range,
INC-1363,Received Less,Dye Range,
INC-1364,Snagging,Mexico,
INC-1365,Order Complete,Order Complete,
INC-1366,5m waste,Less than 5m,
INC-1367,1mtr weight issue,Stretchline-SL,
INC-1368,Uneven Edges,Weaving,
INC-1369,Face Damage,Sourcing,
INC-1370,Face Damage,Sourcing,
INC-1371,Face Damage,Sourcing,
INC-1372,1mtr weight issue,Stretchline-SL,
INC-1373,Entangle,Dye Range,
INC-1374,1mtr weight issue,Stretchline-SL,
INC-1375,Patches,Dye Exhaust,
INC-1376,1mtr weight issue,Stretchline-SL,
INC-1377,1mtr weight issue,Stretchline-SL,
INC-1378,Snagging,Value Addition,
INC-1379,Curling,Mexico,
INC-1380,Snagging,Mexico,
INC-1381,Edge Damage,Mexico,
INC-1382,1mtr weight issue,Stretchline-SL,
INC-1383,1mtr weight issue,Stretchline-SL,
INC-1384,5m waste,Less than 5m,
INC-1385,5m waste,Less than 5m,
INC-1386,Silicon Damage,Value Addition,
INC-1387,1mtr weight issue,Stretchline-SL,
INC-1388,1mtr weight issue,Stretchline-SL,
INC-1389,Patches,Dye Exhaust,
